-248|-629.88
843| 84.98
-310| 740.30
-726| 203.89
-230|-183.88
196| 117.49
-387|-418.59
-420|-215.17
580|-610.51
478|-737.43
-75| 703.98
-279| 796.55
-370| 439.04
556|-497.38
936|-70.94
-409|-611.55
-752|-885.15
763| 774.99
-160| 527.36
-404| 738.69
952| 654.45
-138| 653.28
794| 967.77
843| 612.04
109| 284.70
-230| 23.09
337|-562.24
875|-734.81
731|-466.70
553|-450.01
510|-237.89
-66|-54.91
16| 171.30
-462|-801.76
643|-827.89
802|-150.46
-469|-808.54
-655| 559.39
460|-297.29
750|-576.73
-881|-384.74
357| 768.55
419|-760.07
-646|-119.16
793| 320.75
626|-367.25
514| 534.54
-89|-820.20
-485| 958.35
141| 839.86
839| 833.55
488|-783.81
240| 433.41
997|-599.39
-185|-58.03
-745| 369.67
-900|-319.50
402|-189.32
-743| 142.58
919|-37.48
